service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type,date,day_name,is_weekend,price,is_shared_table,is_walkaway,is_queued,wait_min,meal_min,zone
1,1.0,,,6,2026-03-25 06:42:00,2026-03-25 07:00:00,In-house,2026-03-13,Friday,False,159,False,False,False,,18.0,Indoor
2,2.0,,,2,2026-03-25 06:44:00,2026-03-25 07:10:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,26.0,Indoor
3,2.0,,,7A,2026-03-25 07:05:00,2026-03-25 08:08:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,63.0,Outdoor
4,1.0,,,8A,2026-03-25 07:20:00,2026-03-25 08:18:00,In-house,2026-03-13,Friday,False,159,False,False,False,,58.0,Outdoor
5,1.0,,,10A,2026-03-25 07:25:00,2026-03-25 07:45:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
6,1.0,,,8B,2026-03-25 07:28:00,2026-03-25 08:20:00,In-house,2026-03-13,Friday,False,159,False,False,False,,52.0,Outdoor
7,1.0,,,9,2026-03-25 07:33:00,2026-03-25 08:05:00,In-house,2026-03-13,Friday,False,159,False,False,False,,32.0,Outdoor
8,5.0,,,4,2026-03-25 07:42:00,2026-03-25 08:40:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,58.0,Indoor
9,4.0,,,11,2026-03-25 07:48:00,2026-03-25 08:21:00,In-house,2026-03-13,Friday,False,159,False,False,False,,33.0,Outdoor
10,2.0,,,16,2026-03-25 07:48:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,47.0,No Table
11,2.0,,,6,2026-03-25 07:50:00,2026-03-25 08:48:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,58.0,Indoor
12,1.0,,,7B,2026-03-25 07:56:00,2026-03-25 08:15:00,In-house,2026-03-13,Friday,False,159,False,False,False,,19.0,Outdoor
13,1.0,,,10A,2026-03-25 07:59:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,36.0,Outdoor
14,1.0,,,1,2026-03-25 08:00:00,2026-03-25 09:19:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,79.0,Indoor
15,1.0,,,8C,2026-03-25 08:03:00,2026-03-25 08:27:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,24.0,Outdoor
16,2.0,,,12,2026-03-25 08:05:00,2026-03-25 08:25:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
17,1.0,,,14,2026-03-25 08:14:00,2026-03-25 09:03:00,In-house,2026-03-13,Friday,False,159,False,False,False,,49.0,Outdoor
18,2.0,,,7A,2026-03-25 08:15:00,2026-03-25 09:30:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,75.0,Outdoor
19,1.0,,,15A,2026-03-25 08:16:00,2026-03-25 09:05:00,In-house,2026-03-13,Friday,False,159,False,False,False,,49.0,Outdoor
20,1.0,,,10B,2026-03-25 08:19:00,2026-03-25 08:35:00,In-house,2026-03-13,Friday,False,159,False,False,False,,16.0,Outdoor
21,4.0,,,3,2026-03-25 08:24:00,2026-03-25 10:46:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,142.0,Indoor
22,2.0,,,5,2026-03-25 08:25:00,2026-03-25 09:22:00,In-house,2026-03-13,Friday,False,159,False,False,False,,57.0,Indoor
23,2.0,,,2,2026-03-25 08:25:00,2026-03-25 10:12:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,107.0,Indoor
24,1.0,,,8A,2026-03-25 08:33:00,2026-03-25 09:30:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,57.0,Outdoor
25,1.0,,,11A,2026-03-25 08:41:00,2026-03-25 09:25:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,44.0,Outdoor
26,1.0,,,16,2026-03-25 08:43:00,2026-03-25 09:35:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,52.0,No Table
27,1.0,,,12,2026-03-25 08:47:00,2026-03-25 09:18:00,In-house,2026-03-13,Friday,False,159,False,False,False,,31.0,Outdoor
28,2.0,,,10A,2026-03-25 08:53:00,2026-03-25 09:28:00,In-house,2026-03-13,Friday,False,159,False,False,False,,35.0,Outdoor
29,1.0,,,7B,2026-03-25 08:53:00,2026-03-25 09:13:00,In-house,2026-03-13,Friday,False,159,False,False,False,,20.0,Outdoor
30,3.0,,,6,2026-03-25 09:00:00,2026-03-25 09:33:00,In-house,2026-03-13,Friday,False,159,False,False,False,,33.0,Indoor
31,2.0,,,4,2026-03-25 09:05:00,2026-03-25 10:00:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,55.0,Indoor
32,2.0,,,8B,2026-03-25 09:05:00,2026-03-25 09:39:00,In-house,2026-03-13,Friday,False,159,False,False,False,,34.0,Outdoor
33,2.0,,,15A,2026-03-25 09:07:00,2026-03-25 10:07:00,Walk-in,2026-03-13,Friday,False,159,False,False,False,,60.0,Outdoor
34,2.0,,,8A,2026-03-25 09:08:00,2026-03-25 10:09:00,In-house,2026-03-13,Friday,False,159,False,False,False,,61.0,Outdoor
